262144x4MiB	79.083 111	78.776 111	79.057 111	78.108 112	77.890 112	78.337 112	78.386 112	79.681 110	76.556 114
131072x8MiB	90.853 96	90.446 97	90.574 97	84.157 104	85.536 102	87.647 100	87.759 100	86.038 102	80.065 109
65536x16MiB	90.970 96	94.810 92	94.995 92	84.858 103	80.418 109	86.332 101	87.330 100	80.686 109	79.964 110
32768x32MiB	95.012 92	94.602 92	94.627 92	86.140 102	87.055 101	85.934 102	86.360 101	81.878 107	79.284 110
16384x64MiB	94.860 92	94.440 93	94.434 93	86.449 101	84.708 103	86.518 101	87.656 100	81.384 108	86.681 101
8192x128MiB	94.680 92	94.188 93	94.324 93	86.699 101	86.923 101	86.675 101	79.629 110	86.055 102	87.783 100
4096x256MiB	94.430 93	94.308 93	94.216 93	86.818 101	87.148 100	87.212 100	79.256 110	79.055 111	86.780 101
2048x512MiB	94.407 93	94.114 93	94.312 93	86.905 101	84.726 103	86.590 101	87.552 100	82.888 106	81.295 108
1024x1GiB	94.426 93	93.897 93	94.305 93	83.971 104	87.218 100	86.704 101	86.594 101	82.964 106	86.834 101
512x2GiB	94.167 93	93.879 93	94.155 93	86.752 101	87.118 100	82.996 105	80.924 108	83.724 105	87.399 100
256x4GiB	94.347 93	94.064 93	93.878 93	84.836 103	87.372 100	87.356 100	86.933 101	85.981 102	83.714 105
128x8GiB	93.980 93	94.204 93	93.947 93	85.003 103	87.289 100	85.467 102	87.891 100	82.062 107	78.700 111
64x16GiB	93.761 93	93.890 93	93.810 93	86.884 101	87.802 100	87.770 100	82.357 106	82.304 106	81.145 108
32x32GiB	93.761 93	93.917 93	93.675 93	88.138 99	87.810 100	87.891 100	78.911 111	87.648 100	82.480 106
16x64GiB	93.573 94	93.615 93	93.387 94	87.500 100	87.182 100	87.817 100	78.226 112	87.560 100	87.433 100
8x128iB	93.494 94	93.668 93	93.788 93	87.382 100	87.683 100	87.520 100	84.291 104	81.265 108	86.272 101
4x256GiB	93.577 93	93.611 93	93.845 93	87.374 100	87.343 100	87.276 100	86.732 101	84.390 104	86.842 101
2x512GiB	93.342 94	93.423 94	93.918 93	87.240 100	87.317 100	84.348 104	86.662 101	87.094 100	86.475 101
1x1TiB	90.699 96	93.625 93	93.737 93	87.032 101	87.229 100	88.030 99	86.485 101	86.798 101	86.192 102
